[0.6939 0.6369 0.5365 0.4415 0.3209 0.2056 0.1103]
epoch=  584  step= 7600  Loss=0.5039  cls_acc=90.95  best_map=46.13
[0.7134 0.6560 0.5611 0.4629 0.3407 0.2261 0.1227]
epoch=  588  step= 7650  Loss=0.4980  cls_acc=90.95  best_map=46.13
[0.7138 0.6540 0.5487 0.4597 0.3301 0.2157 0.1174]
epoch=  592  step= 7700  Loss=0.4957  cls_acc=91.43  best_map=46.13
[0.6913 0.6373 0.5381 0.4444 0.3255 0.2119 0.1130]
epoch=  596  step= 7750  Loss=0.4955  cls_acc=88.10  best_map=46.13
[0.7023 0.6483 0.5463 0.4500 0.3269 0.2101 0.1158]
epoch=  599  step= 7800  Loss=0.4907  cls_acc=90.00  best_map=46.13
[0.7032 0.6488 0.5466 0.4510 0.3308 0.2113 0.1131]
epoch=  603  step= 7850  Loss=0.4763  cls_acc=91.90  best_map=46.13
[0.7077 0.6532 0.5500 0.4519 0.3269 0.2102 0.1141]
epoch=  607  step= 7900  Loss=0.4763  cls_acc=91.43  best_map=46.13
[0.6944 0.6360 0.5349 0.4381 0.3176 0.2054 0.1098]
epoch=  611  step= 7950  Loss=0.4872  cls_acc=90.48  best_map=46.13
[0.7032 0.6471 0.5503 0.4495 0.3286 0.2145 0.1171]
epoch=  615  step= 8000  Loss=0.4658  cls_acc=89.52  best_map=46.13
[0.7116 0.6573 0.5597 0.4630 0.3345 0.2211 0.1236]
epoch=  619  step= 8050  Loss=0.4782  cls_acc=91.90  best_map=46.13
[0.6870 0.6351 0.5380 0.4452 0.3272 0.2107 0.1140]
epoch=  623  step= 8100  Loss=0.4781  cls_acc=88.57  best_map=46.13
[0.7096 0.6523 0.5560 0.4561 0.3319 0.2189 0.1180]
epoch=  626  step= 8150  Loss=0.4763  cls_acc=91.90  best_map=46.13
[0.7147 0.6614 0.5564 0.4590 0.3314 0.2172 0.1181]
epoch=  630  step= 8200  Loss=0.4677  cls_acc=91.43  best_map=46.13
[0.6930 0.6382 0.5396 0.4454 0.3284 0.2121 0.1154]
epoch=  634  step= 8250  Loss=0.4600  cls_acc=90.00  best_map=46.13
[0.7090 0.6508 0.5480 0.4480 0.3250 0.2065 0.1123]
epoch=  638  step= 8300  Loss=0.4710  cls_acc=91.43  best_map=46.13
[0.7107 0.6534 0.5547 0.4536 0.3322 0.2163 0.1173]
epoch=  642  step= 8350  Loss=0.4554  cls_acc=91.43  best_map=46.13
[0.7056 0.6491 0.5434 0.4496 0.3246 0.2029 0.1102]
epoch=  646  step= 8400  Loss=0.4698  cls_acc=91.43  best_map=46.13
[0.7082 0.6523 0.5487 0.4540 0.3301 0.2100 0.1160]
epoch=  649  step= 8450  Loss=0.4641  cls_acc=90.00  best_map=46.13
[0.6934 0.6409 0.5390 0.4452 0.3265 0.2063 0.1126]
epoch=  653  step= 8500  Loss=0.4538  cls_acc=90.95  best_map=46.13
[0.7150 0.6596 0.5574 0.4606 0.3339 0.2205 0.1176]
epoch=  657  step= 8550  Loss=0.4651  cls_acc=93.33  best_map=46.13
[0.7146 0.6572 0.5547 0.4595 0.3355 0.2218 0.1209]
epoch=  661  step= 8600  Loss=0.4501  cls_acc=93.81  best_map=46.13
[0.7118 0.6543 0.5515 0.4561 0.3317 0.2170 0.1205]
epoch=  665  step= 8650  Loss=0.4484  cls_acc=92.38  best_map=46.13
[0.7065 0.6503 0.5472 0.4475 0.3246 0.2097 0.1153]
epoch=  669  step= 8700  Loss=0.4445  cls_acc=91.90  best_map=46.13
[0.7055 0.6479 0.5441 0.4478 0.3217 0.2060 0.1118]
epoch=  673  step= 8750  Loss=0.4384  cls_acc=91.43  best_map=46.13
[0.7102 0.6552 0.5475 0.4537 0.3295 0.2129 0.1151]
epoch=  676  step= 8800  Loss=0.4427  cls_acc=91.90  best_map=46.13
[0.7079 0.6505 0.5456 0.4473 0.3254 0.2074 0.1130]
epoch=  680  step= 8850  Loss=0.4412  cls_acc=91.43  best_map=46.13
[0.6999 0.6447 0.5481 0.4483 0.3265 0.2134 0.1193]
epoch=  684  step= 8900  Loss=0.4304  cls_acc=90.48  best_map=46.13
[0.6980 0.6417 0.5406 0.4485 0.3231 0.2052 0.1115]
epoch=  688  step= 8950  Loss=0.4404  cls_acc=90.48  best_map=46.13
[0.7046 0.6437 0.5409 0.4465 0.3179 0.2009 0.1081]
epoch=  692  step= 9000  Loss=0.4375  cls_acc=91.90  best_map=46.13
[0.7025 0.6449 0.5415 0.4403 0.3197 0.2089 0.1127]
epoch=  696  step= 9050  Loss=0.4235  cls_acc=89.52  best_map=46.13
[0.7069 0.6490 0.5482 0.4483 0.3257 0.2129 0.1162]
epoch=  699  step= 9100  Loss=0.4363  cls_acc=90.48  best_map=46.13
